SampleID,Plate,Description,Run,Row,Column,Well,isotope,treatment,ecosystem,sampleID,Density.g.ml,avg_16S_copies,dna_ng_ul,uL_added,dry_soil_wt_g,timepoint,avg_16S_g_soil
DIM.29.19,1,29.19,1,G,3,G3,16O,C,MC,W1_MC_5,1.6862,89154.48007,42.2,25,0.22928851286128,7,4844.09908771823
DIM.29.20,1,29.2,1,H,3,H3,16O,C,MC,W1_MC_5,1.6816,27128.0241,42.2,25,0.22928851286128,7,1473.96784425449
DIM.29.9,1,29.9,1,E,2,E2,16O,C,MC,W1_MC_5,1.7319764,7385.636784,42.2,25,0.22928851286128,7,401.289496383158
DIM.30.10,2,30.1,1,G,2,G2,16O,C,MC,W1_MC_6,1.7078456,38263.67436,44.9,25,0.22928851286128,7,1953.99131194047
DIM.30.11,2,30.11,1,H,2,H2,16O,C,MC,W1_MC_6,1.7035464,214712.5455,44.9,25,0.22928851286128,7,10964.6147550902
DIM.30.12,2,30.12,1,A,3,A3,16O,C,MC,W1_MC_6,1.6992472,780842.2959,44.9,25,0.22928851286128,7,39874.8705581511
DIM.30.13,2,30.13,1,B,3,B3,16O,C,MC,W1_MC_6,1.694948,1750707.403,44.9,25,0.22928851286128,7,89402.4714675064
DIM.30.14,2,30.14,1,C,3,C3,16O,C,MC,W1_MC_6,1.689574,1208457.003,44.9,25,0.22928851286128,7,61711.6501279887
DIM.30.15,2,30.15,1,D,3,D3,16O,C,MC,W1_MC_6,1.6863496,270159.2731,44.9,25,0.22928851286128,7,13796.0841792391
DIM.30.16,2,30.16,1,E,3,E3,16O,C,MC,W1_MC_6,1.6809756,92403.52425,44.9,25,0.22928851286128,7,4718.72308650863
DIM.30.17,2,30.17,1,F,3,F3,16O,C,MC,W1_MC_6,1.6756016,41333.42248,44.9,25,0.22928851286128,7,2110.75255499025
DIM.30.18,2,30.18,1,G,3,G3,16O,C,MC,W1_MC_6,1.6699,24877.02276,44.9,25,0.22928851286128,7,1270.38208308611
DIM.30.19,2,30.19,1,H,3,H3,16O,C,MC,W1_MC_6,1.6651,21722.1391,44.9,25,0.22928851286128,7,1109.27326735075
DIM.30.5,2,30.5,1,B,2,B2,16O,C,MC,W1_MC_6,1.7314912,10006.67441,44.9,25,0.22928851286128,7,511.00567798573
DIM.30.6,2,30.6,1,C,2,C2,16O,C,MC,W1_MC_6,1.727192,10365.35671,44.9,25,0.22928851286128,7,529.3223218959
